"label","strength","document"
Topic 4,0.0848,5376e465443cf702ab0007ec
Topic 26,0.0805,5376e465443cf702ab0007ef
Topic 8,0.0705,5376e465443cf702ab0007f8
Topic 23,0.0718,5376e465443cf702ab000801
Topic 4,0.0718,5376e465443cf702ab000801
Topic 5,0.1030,5376e465443cf702ab00080d
Topic 4,0.0881,5376e465443cf702ab00080e
Topic 0,0.0810,5376e465443cf702ab000815
Topic 6,0.0705,5376e465443cf702ab00081a
Topic 5,0.0819,5376e465443cf702ab00081c
Topic 1,0.0833,5376e465443cf702ab00081e
Topic 19,0.0805,5376e465443cf702ab000824
Topic 18,0.0729,5376e465443cf702ab000842
Topic 10,0.0729,5376e465443cf702ab000842
Topic 21,0.0805,5376e465443cf702ab00084b
Topic 16,0.1042,5376e465443cf702ab00085e
Topic 17,0.0899,5376e465443cf702ab000878
Topic 22,0.0707,5376e465443cf702ab000886
Topic 4,0.0707,5376e465443cf702ab000886
Topic 4,0.0821,5376e465443cf702ab000888
Topic 16,0.1010,5376e465443cf702ab000897
Topic 3,0.0848,5376e465443cf702ab00089b
Topic 15,0.0705,5376e465443cf702ab0008b1
Topic 28,0.1198,5376e465443cf702ab0008b3
Topic 5,0.0741,5376e465443cf702ab0008ba
Topic 10,0.0977,5376e465443cf702ab0008be
Topic 17,0.0778,5376e465443cf702ab0008c5
Topic 29,0.0753,5376e465443cf702ab0008c7
Topic 12,0.0741,5376e465443cf702ab0008d0
